,DISTRICT,income,race,Precinct Description,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,_merge,income_bin
814,12106F,58946.758234,white,06F,06F,2362.0,273.0,854.0,1144.0,0.0,0.0,both,mid
815,12106L1,87765.9992351,white,06L1,06L1,796.0,132.0,377.0,512.0,0.0,0.0,both,mid
816,121RW17,100437.99017,white,RW17,RW17,2352.0,590.0,567.0,1181.0,0.0,0.0,both,high
817,121RW04,100437.999959,white,RW04,RW04,1592.0,598.0,398.0,1012.0,0.0,0.0,both,high
819,121SS01,136488.870001,white,SS01,SS01,2597.0,1160.0,502.0,1676.0,0.0,0.0,both,high
820,121RW20,141846.704718,white,RW20,RW20,2187.0,813.0,447.0,1276.0,0.0,0.0,both,high
821,121RW21A,163434.327627,white,RW21A,RW21A,2760.0,1086.0,445.0,1555.0,0.0,0.0,both,high
822,121RW22A,96248.0087598,white,RW22A,RW22A,3327.0,629.0,658.0,1313.0,0.0,0.0,both,mid
823,121RW07A,45163.0000085,hispanic,RW07A,RW07A,1122.0,48.0,267.0,321.0,0.0,0.0,both,low
825,089OB,48825.9669156,hispanic,OAKCLIFF ELEM,OAKCLIFF ELEM,1301.0,197.0,319.0,538.0,0.0,0.0,both,low
828,089EC,72769.8156416,,EMBRY HILLS,EMBRY HILLS,1633.0,437.0,508.0,982.0,0.0,0.0,both,mid
830,121SS25,240757.812902,white,SS25,SS25,1321.0,516.0,242.0,767.0,0.0,0.0,both,high
833,121RW21B,215870.515805,white,RW21B,RW21B,4.0,1.0,4.0,5.0,0.0,0.0,both,high
834,121JC19,116523.586226,white,JC19,JC19,3161.0,995.0,681.0,1711.0,0.0,0.0,both,high
835,121JC13A,215884.83114,white,JC13A,JC13A,1902.0,880.0,215.0,1105.0,0.0,0.0,both,high
839,121JC13B,215885.0,white,JC13B,JC13B,276.0,151.0,12.0,163.0,0.0,0.0,both,high
847,089EF,77401.9394479,white,EVANSDALE ELEM,EVANSDALE ELEM,2329.0,525.0,699.0,1260.0,0.0,0.0,both,mid
848,089MH,99403.6207026,white,MIDVALE ELEM,MIDVALE ELEM,1725.0,675.0,474.0,1179.0,0.0,0.0,both,mid
849,089TH,86583.1318894,white,TUCKER LIBRARY,TUCKER LIBRARY,2078.0,499.0,639.0,1151.0,0.0,0.0,both,mid
850,089LV,96227.6770666,white,LIVSEY ELEM,LIVSEY ELEM,1235.0,424.0,373.0,822.0,0.0,0.0,both,mid
852,121JC18A,98820.6053867,white,JC18A,JC18A,2422.0,895.0,414.0,1327.0,0.0,0.0,both,mid
853,121JC18B,117149.0,white,JC18B,JC18B,186.0,72.0,43.0,116.0,0.0,0.0,both,high
854,121JC17,117142.980528,white,JC17,JC17,280.0,80.0,58.0,139.0,0.0,0.0,both,high
855,121AP01C,111815.650764,white,AP01C,AP01C,1900.0,639.0,299.0,953.0,0.0,0.0,both,high
856,121JC16,117148.995231,white,JC16,JC16,1687.0,507.0,318.0,846.0,0.0,0.0,both,high
857,121AP01A,116185.023555,white,AP01A,AP01A,1755.0,578.0,240.0,828.0,0.0,0.0,both,high
858,121AP13,140031.290537,white,AP13,AP13,2168.0,609.0,333.0,956.0,0.0,0.0,both,high
859,121AP12A,97284.0001583,,AP12A,AP12A,537.0,98.0,126.0,231.0,0.0,0.0,both,mid
860,121JC14,215884.999136,white,JC14,JC14,2061.0,750.0,286.0,1048.0,0.0,0.0,both,high
861,121AP14,118228.333247,white,AP14,AP14,2605.0,897.0,425.0,1355.0,0.0,0.0,both,high
862,121JC15,127036.418003,white,JC15,JC15,618.0,128.0,127.0,265.0,0.0,0.0,both,high
863,121JC10,111750.530237,white,JC10,JC10,1943.0,483.0,400.0,912.0,0.0,0.0,both,high
871,12107F,120758.606402,white,07F,07F,2411.0,614.0,556.0,1186.0,0.0,0.0,both,high
872,12107D,131764.348369,white,07D,07D,3231.0,642.0,580.0,1245.0,0.0,0.0,both,high
873,12107N,52523.0003284,,07N,07N,1518.0,108.0,350.0,475.0,0.0,0.0,both,mid
874,12107M,77244.3317819,,07M,07M,1856.0,292.0,372.0,677.0,0.0,0.0,both,mid
875,12107E,126115.024592,white,07E,07E,1662.0,296.0,501.0,804.0,0.0,0.0,both,high
876,12107A,157276.007275,white,07A,07A,4524.0,1217.0,952.0,2193.0,0.0,0.0,both,high
877,12107C,176043.722072,white,07C,07C,3220.0,885.0,676.0,1575.0,0.0,0.0,both,high
878,12107B,199294.36658,white,07B,07B,2526.0,1063.0,444.0,1522.0,0.0,0.0,both,high
879,089MZ,39873.7680554,black,MILLER GROVE HIGH,MILLER GROVE HIGH,2300.0,35.0,1272.0,1322.0,0.0,0.0,both,low
880,089RL,55589.406838,black,ROCK CHAPEL ROAD,ROCK CHAPEL ROAD,2606.0,125.0,1317.0,1446.0,0.0,0.0,both,mid
881,089RF,69754.00005,black,ROCK CHAPEL ELEM,ROCK CHAPEL ELEM,2090.0,40.0,1025.0,1072.0,0.0,0.0,both,mid
882,089RI,76356.9663357,black,ROCKBRIDGE ROAD,ROCKBRIDGE ROAD,2783.0,87.0,1605.0,1700.0,0.0,0.0,both,mid
