Precinct,County,CRUZ,J.,total
UC02B,Fulton,69,69,138
UC031,Fulton,69,69,138
UC032,Fulton,69,69,138
001 HARBINS A,Gwinnett,69,69,138
002 ROCKBRIDGE A,Gwinnett,69,69,138
003 DACULA,Gwinnett,69,69,138
004 SUWANEE A,Gwinnett,69,69,138
005 BAYCREEK A,Gwinnett,69,69,138
006 GOODWINS A,Gwinnett,69,69,138
007 DULUTH A,Gwinnett,69,69,138
008 DUNCANS A,Gwinnett,69,69,138
009 PUCKETTS A,Gwinnett,69,69,138
010 CATES A,Gwinnett,69,69,138
011 BERKSHIRE A,Gwinnett,69,69,138
012 BERKSHIRE B,Gwinnett,69,69,138
013 DUNCANS C,Gwinnett,69,69,138
014 GARNERS A,Gwinnett,69,69,138
015 LAWRENCEVILLE A,Gwinnett,69,69,138
016 LAWRENCEVILLE B,Gwinnett,69,69,138
017 MARTINS A,Gwinnett,69,69,138
018 MARTINS B,Gwinnett,69,69,138
019 MARTINS C,Gwinnett,69,69,138
020 PINCKNEYVILLE A,Gwinnett,69,69,138
021 PINCKNEYVILLE B,Gwinnett,69,69,138
022 PINCKNEYVILLE C,Gwinnett,69,69,138
023 PINCKNEYVILLE D,Gwinnett,69,69,138
024 SUGAR HILL A,Gwinnett,69,69,138
025 SUGAR HILL B,Gwinnett,69,69,138
026 HOG MOUNTAIN A,Gwinnett,69,69,138
027 HOG MOUNTAIN B,Gwinnett,69,69,138
028 ROCKYCREEK A,Gwinnett,69,69,138
029 CATES B,Gwinnett,69,69,138
030 CATES C,Gwinnett,69,69,138
031 HOG MOUNTAIN D,Gwinnett,69,69,138
032 BERKSHIRE D,Gwinnett,69,69,138
033 BERKSHIRE E,Gwinnett,69,69,138
034 BERKSHIRE F,Gwinnett,69,69,138
035 CATES D - 04,Gwinnett,69,69,138
035 CATES D - 07,Gwinnett,69,69,138
036 CATES E,Gwinnett,69,69,138
037 PINCKNEYVILLE E,Gwinnett,69,69,138
038 PINCKNEYVILLE F,Gwinnett,69,69,138
039 DUNCANS D,Gwinnett,69,69,138
040 PINCKNEYVILLE H,Gwinnett,69,69,138
041 BAYCREEK B,Gwinnett,69,69,138
042 LAWRENCEVILLE C,Gwinnett,69,69,138
043 MARTINS D,Gwinnett,69,69,138
044 ROCKBRIDGE B,Gwinnett,69,69,138
045 GARNERS B,Gwinnett,69,69,138
046 CATES F,Gwinnett,69,69,138
047 CATES G,Gwinnett,69,69,138
048 DULUTH B,Gwinnett,69,69,138
049 GARNERS C,Gwinnett,69,69,138
050 PINCKNEYVILLE I,Gwinnett,69,69,138
051 PINCKNEYVILLE J,Gwinnett,69,69,138
052 BERKSHIRE G,Gwinnett,69,69,138
053 CATES H,Gwinnett,69,69,138
054 SUGAR HILL C,Gwinnett,69,69,138
055 SUGAR HILL D,Gwinnett,69,69,138
056 DULUTH C,Gwinnett,69,69,138
057 DULUTH D,Gwinnett,69,69,138
058 PINCKNEYVILLE K,Gwinnett,69,69,138
059 PINCKNEYVILLE N,Gwinnett,69,69,138
060 LAWRENCEVILLE D,Gwinnett,69,69,138
061 LAWRENCEVILLE E,Gwinnett,69,69,138
062 PINCKNEYVILLE L,Gwinnett,69,69,138
063 PINCKNEYVILLE M,Gwinnett,69,69,138
064 GARNERS D,Gwinnett,69,69,138
065 BERKSHIRE H,Gwinnett,69,69,138
066 PINCKNEYVILLE O,Gwinnett,69,69,138
067 PUCKETTS E,Gwinnett,69,69,138
068 CATES I,Gwinnett,69,69,138
069 CATES J,Gwinnett,69,69,138
070 GOODWINS B,Gwinnett,69,69,138
071 LAWRENCEVILLE F,Gwinnett,69,69,138
072 MARTINS E,Gwinnett,69,69,138
073 PINCKNEYVILLE P,Gwinnett,69,69,138
074 PINCKNEYVILLE Q,Gwinnett,69,69,138
075 ROCKBRIDGE C,Gwinnett,69,69,138
076 ROCKBRIDGE D,Gwinnett,69,69,138
077 GOODWINS C,Gwinnett,69,69,138
078 BAYCREEK K,Gwinnett,69,69,138
079 CATES K,Gwinnett,69,69,138
080 BAYCREEK C,Gwinnett,69,69,138
081 CATES L,Gwinnett,69,69,138
082 DULUTH E,Gwinnett,69,69,138
083 GOODWINS D,Gwinnett,69,69,138
084 LAWRENCEVILLE G,Gwinnett,69,69,138
085 LAWRENCEVILLE H,Gwinnett,69,69,138
086 MARTINS F,Gwinnett,69,69,138
087 PINCKNEYVILLE S,Gwinnett,69,69,138
088 ROCKBRIDGE E,Gwinnett,69,69,138
089 SUGAR HILL E,Gwinnett,69,69,138
090 LAWRENCEVILLE I,Gwinnett,69,69,138
091 BAYCREEK D,Gwinnett,69,69,138
092 BERKSHIRE J,Gwinnett,69,69,138
093 CATES M,Gwinnett,69,69,138
094 CATES N,Gwinnett,69,69,138
095 DULUTH F,Gwinnett,69,69,138
096 DULUTH G,Gwinnett,69,69,138
097 GOODWINS E,Gwinnett,69,69,138
098 GOODWINS F,Gwinnett,69,69,138
099 PINCKNEYVILLE T,Gwinnett,69,69,138
100 SUWANEE B,Gwinnett,69,69,138
101 PINCKNEYVILLE U,Gwinnett,69,69,138
102 PUCKETTS B,Gwinnett,69,69,138
103 BERKSHIRE L,Gwinnett,69,69,138
104 ROCKBRIDGE F,Gwinnett,69,69,138
105 SUGAR HILL F,Gwinnett,69,69,138
106 SUWANEE C,Gwinnett,69,69,138
107 CATES O,Gwinnett,69,69,138
108 BAYCREEK E,Gwinnett,69,69,138
109 BERKSHIRE M,Gwinnett,69,69,138
110 MARTINS G,Gwinnett,69,69,138
111 DULUTH H,Gwinnett,69,69,138
112 BERKSHIRE N,Gwinnett,69,69,138
113 PINCKNEYVILLE V,Gwinnett,69,69,138
114 PINCKNEYVILLE W,Gwinnett,69,69,138
115 MARTINS H,Gwinnett,69,69,138
116 MARTINS I,Gwinnett,69,69,138
117 MARTINS J,Gwinnett,69,69,138
118 GARNERS F,Gwinnett,69,69,138
119 BERKSHIRE O,Gwinnett,69,69,138
120 BERKSHIRE P,Gwinnett,69,69,138
121 PINCKNEYVILLE X,Gwinnett,69,69,138
122 ROCKBRIDGE G,Gwinnett,69,69,138
123 PINCKNEYVILLE Y,Gwinnett,69,69,138
124 GOODWINS G,Gwinnett,69,69,138
125 PINCKNEYVILLE Z,Gwinnett,69,69,138
126 PINCKNEYVILLE A1,Gwinnett,69,69,138
127 LAWRENCEVILLE J,Gwinnett,69,69,138
128 GOODWINS H,Gwinnett,69,69,138
129 DUNCANS B,Gwinnett,69,69,138
130 SUWANEE D,Gwinnett,69,69,138
131 SUWANEE E,Gwinnett,69,69,138
132 LAWRENCEVILLE K,Gwinnett,69,69,138
133 HARBINS B,Gwinnett,69,69,138
134 BAYCREEK F,Gwinnett,69,69,138
135 PUCKETTS C,Gwinnett,69,69,138
136 HOG MOUNTAIN C,Gwinnett,69,69,138
137 ROCKYCREEK B,Gwinnett,69,69,138
138 DULUTH I,Gwinnett,69,69,138
139 MARTINS K,Gwinnett,69,69,138
140 SUWANEE H,Gwinnett,69,69,138
141 SUGAR HILL G,Gwinnett,69,69,138
142 SUWANEE F,Gwinnett,69,69,138
143 LAWRENCEVILLE L,Gwinnett,69,69,138
144 LAWRENCEVILLE M,Gwinnett,69,69,138
145 BAYCREEK G,Gwinnett,69,69,138
146 BAYCREEK H,Gwinnett,69,69,138
147 BAYCREEK I,Gwinnett,69,69,138
148 BERKSHIRE Q,Gwinnett,69,69,138
149 GOODWINS I,Gwinnett,69,69,138
150 DULUTH K,Gwinnett,69,69,138
151 HARBINS C,Gwinnett,69,69,138
152 ROCKYCREEK C,Gwinnett,69,69,138
153 LAWRENCEVILLE N,Gwinnett,69,69,138
154 PUCKETTS D,Gwinnett,69,69,138
155 SUWANEE G,Gwinnett,69,69,138
156 BAYCREEK J,Gwinnett,69,69,138
