Precinct,County,rep_votes,dem_votes,total,rep_p,dem_p
CP083,Fulton,69,69,138,0,0
CP08A,Fulton,69,69,138,0,0
EP01,Fulton,69,69,138,0,0
EP02,Fulton,69,69,138,0,0
EP03,Fulton,69,69,138,0,0
EP04,Fulton,69,69,138,0,0
EP04,Fulton,69,69,138,0,0
FA01A,Fulton,69,69,138,0,0
FA01B,Fulton,69,69,138,0,0
HP01,Fulton,69,69,138,0,0
JC01,Fulton,69,69,138,0,0
JC02,Fulton,69,69,138,0,0
JC03A,Fulton,69,69,138,0,0
JC03B,Fulton,69,69,138,0,0
JC04A,Fulton,69,69,138,0,0
JC04B,Fulton,69,69,138,0,0
JC05,Fulton,69,69,138,0,0
JC06,Fulton,69,69,138,0,0
JC07,Fulton,69,69,138,0,0
JC08,Fulton,69,69,138,0,0
JC09,Fulton,69,69,138,0,0
JC10,Fulton,69,69,138,0,0
JC11,Fulton,69,69,138,0,0
JC12,Fulton,69,69,138,0,0
JC13A,Fulton,69,69,138,0,0
JC13B,Fulton,69,69,138,0,0
JC14,Fulton,69,69,138,0,0
JC15,Fulton,69,69,138,0,0
JC16,Fulton,69,69,138,0,0
JC18A,Fulton,69,69,138,0,0
JC19,Fulton,69,69,138,0,0
ML011,Fulton,69,69,138,0,0
ML012,Fulton,69,69,138,0,0
ML01B,Fulton,69,69,138,0,0
ML021,Fulton,69,69,138,0,0
ML022,Fulton,69,69,138,0,0
ML023,Fulton,69,69,138,0,0
ML024,Fulton,69,69,138,0,0
ML03,Fulton,69,69,138,0,0
ML04A,Fulton,69,69,138,0,0
ML04B,Fulton,69,69,138,0,0
ML04C,Fulton,69,69,138,0,0
ML05A,Fulton,69,69,138,0,0
ML05B,Fulton,69,69,138,0,0
ML05C,Fulton,69,69,138,0,0
ML06A,Fulton,69,69,138,0,0
ML06B,Fulton,69,69,138,0,0
ML071,Fulton,69,69,138,0,0
ML072,Fulton,69,69,138,0,0
ML07A,Fulton,69,69,138,0,0
MP01,Fulton,69,69,138,0,0
PA01,Fulton,69,69,138,0,0
RW01,Fulton,69,69,138,0,0
RW02,Fulton,69,69,138,0,0
RW03,Fulton,69,69,138,0,0
RW04,Fulton,69,69,138,0,0
RW05,Fulton,69,69,138,0,0
RW06,Fulton,69,69,138,0,0
RW07A,Fulton,69,69,138,0,0
RW07B,Fulton,69,69,138,0,0
RW08,Fulton,69,69,138,0,0
RW09,Fulton,69,69,138,0,0
RW10,Fulton,69,69,138,0,0
RW11A,Fulton,69,69,138,0,0
RW12,Fulton,69,69,138,0,0
RW13,Fulton,69,69,138,0,0
RW16,Fulton,69,69,138,0,0
RW17,Fulton,69,69,138,0,0
RW19,Fulton,69,69,138,0,0
RW20,Fulton,69,69,138,0,0
RW21,Fulton,69,69,138,0,0
RW22A,Fulton,69,69,138,0,0
SC01B,Fulton,69,69,138,0,0
SC02,Fulton,69,69,138,0,0
SC04,Fulton,69,69,138,0,0
SC05A,Fulton,69,69,138,0,0
SC05B,Fulton,69,69,138,0,0
SC05D,Fulton,69,69,138,0,0
SC07A,Fulton,69,69,138,0,0
SC08B,Fulton,69,69,138,0,0
SC08C,Fulton,69,69,138,0,0
SC08D,Fulton,69,69,138,0,0
SC08E,Fulton,69,69,138,0,0
SC08F,Fulton,69,69,138,0,0
SC08G,Fulton,69,69,138,0,0
SC09A,Fulton,69,69,138,0,0
SC09B,Fulton,69,69,138,0,0
SC10,Fulton,69,69,138,0,0
SC11A,Fulton,69,69,138,0,0
SC11B,Fulton,69,69,138,0,0
SC13A,Fulton,69,69,138,0,0
SC13B,Fulton,69,69,138,0,0
SC14,Fulton,69,69,138,0,0
SC16,Fulton,69,69,138,0,0
SC17A,Fulton,69,69,138,0,0
SC17C,Fulton,69,69,138,0,0
SC18A,Fulton,69,69,138,0,0
SC18B,Fulton,69,69,138,0,0
SC19A,Fulton,69,69,138,0,0
SC19B,Fulton,69,69,138,0,0
SC211,Fulton,69,69,138,0,0
SC212,Fulton,69,69,138,0,0
SC23A,Fulton,69,69,138,0,0
SC23B,Fulton,69,69,138,0,0
SC27,Fulton,69,69,138,0,0
SC29A,Fulton,69,69,138,0,0
SC30A,Fulton,69,69,138,0,0
SC30B,Fulton,69,69,138,0,0
SS01,Fulton,69,69,138,0,0
SS02A,Fulton,69,69,138,0,0
SS02B,Fulton,69,69,138,0,0
SS03,Fulton,69,69,138,0,0
SS04,Fulton,69,69,138,0,0
SS05,Fulton,69,69,138,0,0
SS06,Fulton,69,69,138,0,0
SS07A,Fulton,69,69,138,0,0
SS07B,Fulton,69,69,138,0,0
SS07C,Fulton,69,69,138,0,0
SS08A,Fulton,69,69,138,0,0
SS08B,Fulton,69,69,138,0,0
SS08C,Fulton,69,69,138,0,0
SS08D,Fulton,69,69,138,0,0
SS09A,Fulton,69,69,138,0,0
SS09B,Fulton,69,69,138,0,0
SS11A,Fulton,69,69,138,0,0
SS11B,Fulton,69,69,138,0,0
SS11C,Fulton,69,69,138,0,0
SS11D,Fulton,69,69,138,0,0
SS12,Fulton,69,69,138,0,0
SS13A,Fulton,69,69,138,0,0
SS13B,Fulton,69,69,138,0,0
SS14,Fulton,69,69,138,0,0
SS15A,Fulton,69,69,138,0,0
SS15B,Fulton,69,69,138,0,0
SS16,Fulton,69,69,138,0,0
SS17,Fulton,69,69,138,0,0
SS18A,Fulton,69,69,138,0,0
SS18B,Fulton,69,69,138,0,0
SS19A,Fulton,69,69,138,0,0
SS19B,Fulton,69,69,138,0,0
SS20,Fulton,69,69,138,0,0
SS22,Fulton,69,69,138,0,0
SS25,Fulton,69,69,138,0,0
SS26,Fulton,69,69,138,0,0
SS29A,Fulton,69,69,138,0,0
SS31,Fulton,69,69,138,0,0
UC01A,Fulton,69,69,138,0,0
UC01B,Fulton,69,69,138,0,0
UC01E,Fulton,69,69,138,0,0
UC02A,Fulton,69,69,138,0,0
UC02B,Fulton,69,69,138,0,0
UC031,Fulton,69,69,138,0,0
UC032,Fulton,69,69,138,0,0
HARBINS A,Gwinnett,69,69,138,0,0
ROCKBRIDGE A,Gwinnett,69,69,138,0,0
DACULA,Gwinnett,69,69,138,0,0
SUWANEE A,Gwinnett,69,69,138,0,0
BAYCREEK A,Gwinnett,69,69,138,0,0
GOODWINS A,Gwinnett,69,69,138,0,0
DULUTH A,Gwinnett,69,69,138,0,0
DUNCANS A,Gwinnett,69,69,138,0,0
PUCKETTS A,Gwinnett,69,69,138,0,0
CATES A,Gwinnett,69,69,138,0,0
BERKSHIRE A,Gwinnett,69,69,138,0,0
BERKSHIRE B,Gwinnett,69,69,138,0,0
DUNCANS C,Gwinnett,69,69,138,0,0
GARNERS A,Gwinnett,69,69,138,0,0
LAWRENCEVILLE A,Gwinnett,69,69,138,0,0
LAWRENCEVILLE B,Gwinnett,69,69,138,0,0
MARTINS A,Gwinnett,69,69,138,0,0
MARTINS B,Gwinnett,69,69,138,0,0
MARTINS C,Gwinnett,69,69,138,0,0
PINCKNEYVILLE A,Gwinnett,69,69,138,0,0
PINCKNEYVILLE B,Gwinnett,69,69,138,0,0
PINCKNEYVILLE C,Gwinnett,69,69,138,0,0
PINCKNEYVILLE D,Gwinnett,69,69,138,0,0
SUGAR HILL A,Gwinnett,69,69,138,0,0
SUGAR HILL B,Gwinnett,69,69,138,0,0
HOG MOUNTAIN A,Gwinnett,69,69,138,0,0
HOG MOUNTAIN B,Gwinnett,69,69,138,0,0
ROCKYCREEK A,Gwinnett,69,69,138,0,0
CATES B,Gwinnett,69,69,138,0,0
CATES C,Gwinnett,69,69,138,0,0
HOG MOUNTAIN D,Gwinnett,69,69,138,0,0
BERKSHIRE D,Gwinnett,69,69,138,0,0
BERKSHIRE E,Gwinnett,69,69,138,0,0
BERKSHIRE F,Gwinnett,69,69,138,0,0
CATES D,Gwinnett,69,69,138,0,0
CATES D,Gwinnett,69,69,138,0,0
CATES E,Gwinnett,69,69,138,0,0
PINCKNEYVILLE E,Gwinnett,69,69,138,0,0
PINCKNEYVILLE F,Gwinnett,69,69,138,0,0
DUNCANS D,Gwinnett,69,69,138,0,0
PINCKNEYVILLE H,Gwinnett,69,69,138,0,0
BAYCREEK B,Gwinnett,69,69,138,0,0
LAWRENCEVILLE C,Gwinnett,69,69,138,0,0
MARTINS D,Gwinnett,69,69,138,0,0
ROCKBRIDGE B,Gwinnett,69,69,138,0,0
GARNERS B,Gwinnett,69,69,138,0,0
CATES F,Gwinnett,69,69,138,0,0
CATES G,Gwinnett,69,69,138,0,0
DULUTH B,Gwinnett,69,69,138,0,0
GARNERS C,Gwinnett,69,69,138,0,0
PINCKNEYVILLE I,Gwinnett,69,69,138,0,0
PINCKNEYVILLE J,Gwinnett,69,69,138,0,0
BERKSHIRE G,Gwinnett,69,69,138,0,0
CATES H,Gwinnett,69,69,138,0,0
SUGAR HILL C,Gwinnett,69,69,138,0,0
SUGAR HILL D,Gwinnett,69,69,138,0,0
DULUTH C,Gwinnett,69,69,138,0,0
DULUTH D,Gwinnett,69,69,138,0,0
PINCKNEYVILLE K,Gwinnett,69,69,138,0,0
PINCKNEYVILLE N,Gwinnett,69,69,138,0,0
LAWRENCEVILLE D,Gwinnett,69,69,138,0,0
LAWRENCEVILLE E,Gwinnett,69,69,138,0,0
PINCKNEYVILLE L,Gwinnett,69,69,138,0,0
PINCKNEYVILLE M,Gwinnett,69,69,138,0,0
GARNERS D,Gwinnett,69,69,138,0,0
BERKSHIRE H,Gwinnett,69,69,138,0,0
PINCKNEYVILLE O,Gwinnett,69,69,138,0,0
PUCKETTS E,Gwinnett,69,69,138,0,0
CATES I,Gwinnett,69,69,138,0,0
CATES J,Gwinnett,69,69,138,0,0
GOODWINS B,Gwinnett,69,69,138,0,0
LAWRENCEVILLE F,Gwinnett,69,69,138,0,0
MARTINS E,Gwinnett,69,69,138,0,0
PINCKNEYVILLE P,Gwinnett,69,69,138,0,0
PINCKNEYVILLE Q,Gwinnett,69,69,138,0,0
ROCKBRIDGE C,Gwinnett,69,69,138,0,0
ROCKBRIDGE D,Gwinnett,69,69,138,0,0
GOODWINS C,Gwinnett,69,69,138,0,0
BAYCREEK K,Gwinnett,69,69,138,0,0
CATES K,Gwinnett,69,69,138,0,0
BAYCREEK C,Gwinnett,69,69,138,0,0
CATES L,Gwinnett,69,69,138,0,0
DULUTH E,Gwinnett,69,69,138,0,0
GOODWINS D,Gwinnett,69,69,138,0,0
LAWRENCEVILLE G,Gwinnett,69,69,138,0,0
LAWRENCEVILLE H,Gwinnett,69,69,138,0,0
MARTINS F,Gwinnett,69,69,138,0,0
PINCKNEYVILLE S,Gwinnett,69,69,138,0,0
ROCKBRIDGE E,Gwinnett,69,69,138,0,0
SUGAR HILL E,Gwinnett,69,69,138,0,0
LAWRENCEVILLE I,Gwinnett,69,69,138,0,0
BAYCREEK D,Gwinnett,69,69,138,0,0
BERKSHIRE J,Gwinnett,69,69,138,0,0
CATES M,Gwinnett,69,69,138,0,0
CATES N,Gwinnett,69,69,138,0,0
DULUTH F,Gwinnett,69,69,138,0,0
DULUTH G,Gwinnett,69,69,138,0,0
GOODWINS E,Gwinnett,69,69,138,0,0
GOODWINS F,Gwinnett,69,69,138,0,0
PINCKNEYVILLE T,Gwinnett,69,69,138,0,0
SUWANEE B,Gwinnett,69,69,138,0,0
PINCKNEYVILLE U,Gwinnett,69,69,138,0,0
PUCKETTS B,Gwinnett,69,69,138,0,0
BERKSHIRE L,Gwinnett,69,69,138,0,0
ROCKBRIDGE F,Gwinnett,69,69,138,0,0
SUGAR HILL F,Gwinnett,69,69,138,0,0
SUWANEE C,Gwinnett,69,69,138,0,0
CATES O,Gwinnett,69,69,138,0,0
BAYCREEK E,Gwinnett,69,69,138,0,0
BERKSHIRE M,Gwinnett,69,69,138,0,0
MARTINS G,Gwinnett,69,69,138,0,0
DULUTH H,Gwinnett,69,69,138,0,0
BERKSHIRE N,Gwinnett,69,69,138,0,0
PINCKNEYVILLE V,Gwinnett,69,69,138,0,0
PINCKNEYVILLE W,Gwinnett,69,69,138,0,0
MARTINS H,Gwinnett,69,69,138,0,0
MARTINS I,Gwinnett,69,69,138,0,0
MARTINS J,Gwinnett,69,69,138,0,0
GARNERS F,Gwinnett,69,69,138,0,0
BERKSHIRE O,Gwinnett,69,69,138,0,0
BERKSHIRE P,Gwinnett,69,69,138,0,0
PINCKNEYVILLE X,Gwinnett,69,69,138,0,0
ROCKBRIDGE G,Gwinnett,69,69,138,0,0
PINCKNEYVILLE Y,Gwinnett,69,69,138,0,0
GOODWINS G,Gwinnett,69,69,138,0,0
PINCKNEYVILLE Z,Gwinnett,69,69,138,0,0
PINCKNEYVILLE A1,Gwinnett,69,69,138,0,0
LAWRENCEVILLE J,Gwinnett,69,69,138,0,0
GOODWINS H,Gwinnett,69,69,138,0,0
DUNCANS B,Gwinnett,69,69,138,0,0
SUWANEE D,Gwinnett,69,69,138,0,0
SUWANEE E,Gwinnett,69,69,138,0,0
LAWRENCEVILLE K,Gwinnett,69,69,138,0,0
HARBINS B,Gwinnett,69,69,138,0,0
BAYCREEK F,Gwinnett,69,69,138,0,0
PUCKETTS C,Gwinnett,69,69,138,0,0
HOG MOUNTAIN C,Gwinnett,69,69,138,0,0
ROCKYCREEK B,Gwinnett,69,69,138,0,0
DULUTH I,Gwinnett,69,69,138,0,0
MARTINS K,Gwinnett,69,69,138,0,0
SUWANEE H,Gwinnett,69,69,138,0,0
SUGAR HILL G,Gwinnett,69,69,138,0,0
SUWANEE F,Gwinnett,69,69,138,0,0
LAWRENCEVILLE L,Gwinnett,69,69,138,0,0
LAWRENCEVILLE M,Gwinnett,69,69,138,0,0
BAYCREEK G,Gwinnett,69,69,138,0,0
BAYCREEK H,Gwinnett,69,69,138,0,0
BAYCREEK I,Gwinnett,69,69,138,0,0
BERKSHIRE Q,Gwinnett,69,69,138,0,0
GOODWINS I,Gwinnett,69,69,138,0,0
DULUTH K,Gwinnett,69,69,138,0,0
HARBINS C,Gwinnett,69,69,138,0,0
ROCKYCREEK C,Gwinnett,69,69,138,0,0
LAWRENCEVILLE N,Gwinnett,69,69,138,0,0
PUCKETTS D,Gwinnett,69,69,138,0,0
SUWANEE G,Gwinnett,69,69,138,0,0
BAYCREEK J,Gwinnett,69,69,138,0,0
